"Income - Members > Common Electricity Charges ( 301003 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Common Electricity Charges ","301003","","",
ME-2025-0000702,301003,Common Electricity Charges, 301,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000691,301003,Common Electricity Charges, 201,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000869,301003,Common Electricity Charges, 102,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000859,301003,Common Electricity Charges, 101,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000825,301003,Common Electricity Charges, 702,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000814,301003,Common Electricity Charges, 602,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000803,301003,Common Electricity Charges, 502,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000793,301003,Common Electricity Charges, 402,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000781,301003,Common Electricity Charges, 302,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000770,301003,Common Electricity Charges, 202,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000747,301003,Common Electricity Charges, 701,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000735,301003,Common Electricity Charges, 601,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000724,301003,Common Electricity Charges, 501,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000713,301003,Common Electricity Charges, 401,01-10-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000997,301003,Common Electricity Charges, 402,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0001026,301003,Common Electricity Charges, 702,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0001016,301003,Common Electricity Charges, 602,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0001006,301003,Common Electricity Charges, 502,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000986,301003,Common Electricity Charges, 302,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000976,301003,Common Electricity Charges, 202,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000965,301003,Common Electricity Charges, 102,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000944,301003,Common Electricity Charges, 601,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000934,301003,Common Electricity Charges, 501,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000895,301003,Common Electricity Charges, 101,01-11-2025,,,, Common Electricity Charges ,301003,,268,
ME-2025-0000924,301003,Common Electricity Charges, 401,01-11-2025,,,, Common Electricity Charges ,301003,,268,
