"Liabilities > Share Capital ( 201001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Share Capital ","201001","","3500",

"Balance : 3500(Credit)","","","","","","","","","","0","3500",

"Liabilities > Reserve Fund ( 202001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Reserve Fund ","202001","","300545",
JE-2025-0000058,202001,Reserve Fund,,31-03-2026,Being fund trf to reserve fund,,, Reserve Fund ,202001,,600.00,

"Balance : 301145(Credit)","","","","","","","","","","0","301145",

"Liabilities > Sinking Fund ( 202002 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Sinking Fund ","202002","","335163",
JE-2025-0000059,202002,Sinking Fund,,31-03-2026,Being contribution trf to liabl FY 25-26,,, Sinking Fund ,202002,,6636.00,
JE-2025-0000062,202002,Sinking Fund,,31-03-2026,Being int trf to fund,,, Sinking Fund ,202002,,9780.00,

"Balance : 351579(Credit)","","","","","","","","","","0","351579",

"Liabilities > Repair  and  Maintenance Fund ( 202003 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Repair  and  Maintenance Fund ","202003","","36708",
JE-2025-0000059,202003,Repair  and  Maintenance Fund,,31-03-2026,Being contribution trf to liabl FY 25-26,,, Repair  and  Maintenance Fund ,202003,,36708.00,

"Balance : 73416(Credit)","","","","","","","","","","0","73416",

"Liabilities > Repair  and  Painting Fund ( 202005 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Repair  and  Painting Fund ","202005","","28256",
JE-2025-0000059,202005,Repair  and  Painting Fund,,31-03-2026,Being contribution trf to liabl FY 25-26,,, Repair  and  Painting Fund ,202005,,28224.00,
JE-2025-0000062,202005,Repair  and  Painting Fund,,31-03-2026,Being int trf to fund,,, Repair  and  Painting Fund ,202005,,532.00,

"Balance : 57012(Credit)","","","","","","","","","","0","57012",

"Liabilities > New Water Pipeline Fund ( 202006 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
