"Assets > Mumbai District Central Co-op. Bank  -  00061006000756 ( 101001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Mumbai District Central Co-op. Bank  -  00061006000756 ","101001","95191.48","",
JE-2025-0000005,101001,Mumbai District Central Co-op. Bank  -  00061006000756,,30-06-2025,Being interest recd from 1st Apr 25 to 29th June 25 - MDCC,,, Mumbai District Central Co-op. Bank  -  00061006000756 ,101001,763.00,,
JE-2025-0000054,101001,Mumbai District Central Co-op. Bank  -  00061006000756,,31-03-2026,Being int on saving account from 30 june 2025 to 31 March 2026,,, Mumbai District Central Co-op. Bank  -  00061006000756 ,101001,2188.00,,

"Balance : 98142.48(Debit)","","","","","","","","","","98142.48","0",

"Assets > Cash in hand  ( 102001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Cash in hand  ","102001","4","",
BE-2025-0000001,0,Bank Transfer,,04-04-2025,Being cash withdrawn,183264,, Cash in hand  ,102001,6000.00,,
EE-2025-0000073,401001,Salary Expenses,Sweeper ,05-04-2025,Being March 2025 salary paid,N.A.,, Cash in hand  ,102001,,1800,
EE-2025-0000074,401001,Salary Expenses,Pumpman,05-04-2025,Being March 2025 salary paid to Naveen,N.A.,, Cash in hand  ,102001,,1800,
EE-2025-0000078,406001,Garden Maintenance Expenses,Gardener,05-04-2025,Being March 2025 salary paid,N.A.,, Cash in hand  ,102001,,600,
EE-2025-0000094,406008,Other Repair Maintenance,Cleaner,05-04-2025,Being March 2025 salary paid,N.A.,, Cash in hand  ,102001,,1200,
EE-2025-0000080,406008,Other Repair Maintenance,Unassigned,15-04-2025,Being cash paid to Vijay for picking mangoes,N.A.,, Cash in hand  ,102001,,200,
EE-2025-0000084,401001,Salary Expenses,Pumpman,02-05-2025,Being April 2025 salary paid,N.A.,, Cash in hand  ,102001,,1800,
EE-2025-0000086,401001,Salary Expenses,Sweeper ,02-05-2025,Being April 2025 salary paid,N.A.,, Cash in hand  ,102001,,1800,
EE-2025-0000088,406001,Garden Maintenance Expenses,Gardener,02-05-2025,Being April 2025 salary paid,N.A.,, Cash in hand  ,102001,,600,
EE-2025-0000100,406008,Other Repair Maintenance,Cleaner,02-05-2025,Being April 2025 salary paid,N.A.,, Cash in hand  ,102001,,1200,
BE-2025-0000002,0,Bank Transfer,,26-05-2025,Being cash withdraw,183271,, Cash in hand  ,102001,6000.00,,
BE-2025-0000004,0,Bank Transfer,,02-06-2025,Being cash withdrawn,183273,, Cash in hand  ,102001,7000.00,,
EE-2025-0000092,404004,Repair & Maintenance Expenses,Unassigned,03-06-2025,Being cash reimbursed to Anita for labour & repair charges,N.A.,, Cash in hand  ,102001,,1650,
EE-2025-0000102,406001,Garden Maintenance Expenses,Gardener,03-06-2025,Being May 2025 salary paid,N.A.,, Cash in hand  ,102001,,600,
EE-2025-0000104,401001,Salary Expenses,Pumpman,03-06-2025,Being May 2025 salary paid,N.A.,, Cash in hand  ,102001,,1800,
