"Income - Members > Electricity Charges ( 301003 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Electricity Charges ","301003","","",
ME-2025-0000002,301003,Electricity Charges,KP 101,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000012,301003,Electricity Charges,KP 102,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000023,301003,Electricity Charges,KP 103,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000033,301003,Electricity Charges,KP 201,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000044,301003,Electricity Charges,KP 202,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000055,301003,Electricity Charges,KP 301,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000066,301003,Electricity Charges,KP 302,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000077,301003,Electricity Charges,KP 401,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000087,301003,Electricity Charges,KP 402,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000098,301003,Electricity Charges,KP 501,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000108,301003,Electricity Charges,KP 502,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000121,301003,Electricity Charges,KP 601,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000133,301003,Electricity Charges,KP 602,01-04-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000154,301003,Electricity Charges,KP 101,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000164,301003,Electricity Charges,KP 102,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000175,301003,Electricity Charges,KP 103,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000185,301003,Electricity Charges,KP 201,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000196,301003,Electricity Charges,KP 202,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000207,301003,Electricity Charges,KP 301,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000218,301003,Electricity Charges,KP 302,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000229,301003,Electricity Charges,KP 401,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000239,301003,Electricity Charges,KP 402,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000250,301003,Electricity Charges,KP 501,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000260,301003,Electricity Charges,KP 502,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000273,301003,Electricity Charges,KP 601,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000286,301003,Electricity Charges,KP 602,01-05-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000308,301003,Electricity Charges,KP 101,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000318,301003,Electricity Charges,KP 102,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000329,301003,Electricity Charges,KP 201,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000340,301003,Electricity Charges,KP 202,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000351,301003,Electricity Charges,KP 301,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000362,301003,Electricity Charges,KP 302,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000373,301003,Electricity Charges,KP 401,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000383,301003,Electricity Charges,KP 402,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000394,301003,Electricity Charges,KP 501,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000404,301003,Electricity Charges,KP 502,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000417,301003,Electricity Charges,KP 601,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000429,301003,Electricity Charges,KP 602,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000442,301003,Electricity Charges,KP 103,01-06-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000461,301003,Electricity Charges,KP 101,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000470,301003,Electricity Charges,KP 102,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000480,301003,Electricity Charges,KP 103,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000488,301003,Electricity Charges,KP 201,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000498,301003,Electricity Charges,KP 202,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000508,301003,Electricity Charges,KP 301,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000518,301003,Electricity Charges,KP 302,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000528,301003,Electricity Charges,KP 401,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000537,301003,Electricity Charges,KP 402,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000547,301003,Electricity Charges,KP 501,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000556,301003,Electricity Charges,KP 502,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000568,301003,Electricity Charges,KP 601,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000579,301003,Electricity Charges,KP 602,01-07-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000607,301003,Electricity Charges,KP 101,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000617,301003,Electricity Charges,KP 102,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000628,301003,Electricity Charges,KP 103,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000637,301003,Electricity Charges,KP 201,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000648,301003,Electricity Charges,KP 202,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000659,301003,Electricity Charges,KP 301,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000670,301003,Electricity Charges,KP 302,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000681,301003,Electricity Charges,KP 401,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000691,301003,Electricity Charges,KP 402,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000702,301003,Electricity Charges,KP 501,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000712,301003,Electricity Charges,KP 502,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000725,301003,Electricity Charges,KP 601,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000737,301003,Electricity Charges,KP 602,01-08-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000759,301003,Electricity Charges,KP 101,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000768,301003,Electricity Charges,KP 102,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000778,301003,Electricity Charges,KP 103,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000787,301003,Electricity Charges,KP 201,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000797,301003,Electricity Charges,KP 202,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000807,301003,Electricity Charges,KP 301,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000817,301003,Electricity Charges,KP 302,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000827,301003,Electricity Charges,KP 401,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000836,301003,Electricity Charges,KP 402,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000856,301003,Electricity Charges,KP 502,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000868,301003,Electricity Charges,KP 601,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000879,301003,Electricity Charges,KP 602,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000901,301003,Electricity Charges,KP 501,01-09-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000924,301003,Electricity Charges,KP 101,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000933,301003,Electricity Charges,KP 102,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000943,301003,Electricity Charges,KP 103,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000952,301003,Electricity Charges,KP 201,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000963,301003,Electricity Charges,KP 202,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000974,301003,Electricity Charges,KP 301,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000984,301003,Electricity Charges,KP 302,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0000994,301003,Electricity Charges,KP 401,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001003,301003,Electricity Charges,KP 402,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001013,301003,Electricity Charges,KP 501,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001023,301003,Electricity Charges,KP 502,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001035,301003,Electricity Charges,KP 601,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001046,301003,Electricity Charges,KP 602,01-10-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001066,301003,Electricity Charges,KP 101,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001076,301003,Electricity Charges,KP 102,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001086,301003,Electricity Charges,KP 103,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001095,301003,Electricity Charges,KP 201,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001105,301003,Electricity Charges,KP 202,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001117,301003,Electricity Charges,KP 301,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001127,301003,Electricity Charges,KP 302,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001137,301003,Electricity Charges,KP 401,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001146,301003,Electricity Charges,KP 402,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001156,301003,Electricity Charges,KP 501,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001166,301003,Electricity Charges,KP 502,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001178,301003,Electricity Charges,KP 601,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001189,301003,Electricity Charges,KP 602,01-11-2025,,,, Electricity Charges ,301003,,353,
ME-2025-0001209,301003,Electricity Charges,KP 101,01-12-2025,,,, Electricity Charges ,301003,,353,
