"Assets > Saraswat Co-op. Bank - 152200100051919 ( 101001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Saraswat Co-op. Bank - 152200100051919 ","101001","257877.75","",
EE-2025-0000002,403001,Electricity Expenses,Tata Power,01-04-2025,Being B wing Mar 25 bill paid,6532994184,31719, Saraswat Co-op. Bank - 152200100051919 ,101001,,3394,
EE-2025-0000004,408011,Bank Charges,Unassigned,04-04-2025,Being sms charges of Q4 FY 24-25,NA,, Saraswat Co-op. Bank - 152200100051919 ,101001,,14.27,
ME-2025-0000360,301019 301011 301003 301016 304005 301002 304004 304001 301004,4 wheeler Parking Charges Education & Training Fund Electricity Charges Insurance Charges Legal Fund Maintenance Charges Repair & Maintenance Painting Fund Sinking Fund Water Charges,A 301,12-04-2025,NEFT recd agst bill 13 dt. 01.04.25,181945777,HDFC Bank, Saraswat Co-op. Bank - 152200100051919 ,101001,3321.00,,
EE-2025-0000014,408002,Accounting Charges,Ivan Rosario,26-04-2025,Being accounting charges paid for Apr to Jun-2025,187356,, Saraswat Co-op. Bank - 152200100051919 ,101001,,5608,
EE-2025-0000019,406011,Fire Fighting System Repairs & Maintenance,Unassigned,26-04-2025,Being Material & labour charges for making gutter cover,187357,, Saraswat Co-op. Bank - 152200100051919 ,101001,,2300,
ME-2025-0000388,305010,Transfer Premium,B 002,28-04-2025,Ch. recd agst bill,000026,Bank of Baroda, Saraswat Co-op. Bank - 152200100051919 ,101001,12500.00,,
ME-2025-0000389,305010,Transfer Premium,B 002,28-04-2025,Ch. recd agst bill,255197,State Bank of India, Saraswat Co-op. Bank - 152200100051919 ,101001,12500.00,,
ME-2025-0000390,305008,Share Transfer Fee,B 002,28-04-2025,Ch. recd agst bill,255198,State Bank of India, Saraswat Co-op. Bank - 152200100051919 ,101001,500.00,,
ME-2025-0000391,305001,Entrance Fee,B 002,28-04-2025,Ch. recd agst bill,255199,State Bank of India, Saraswat Co-op. Bank - 152200100051919 ,101001,200.00,,
EE-2025-0000021,401001,Salary Expenses,Sweeper,28-04-2025,Being sweeper salary paid for Apr-2025,187358,, Saraswat Co-op. Bank - 152200100051919 ,101001,,4000,
EE-2025-0000075,403001,Electricity Expenses,Tata Power,01-05-2025,Being TATA power electricty bills paid for Apr-2025,7741714648,, Saraswat Co-op. Bank - 152200100051919 ,101001,,1932,
EE-2025-0000073,403001,Electricity Expenses,Tata Power,02-05-2025,Being TATA power electricty bills paid for Apr-25,7610063383,, Saraswat Co-op. Bank - 152200100051919 ,101001,,3734,
ME-2025-0000376,301011 301003 301016 304005 301002 304004 304001 301004 301007 206001,Education & Training Fund Electricity Charges Insurance Charges Legal Fund Maintenance Charges Repair & Maintenance Painting Fund Sinking Fund Water Charges Non Occupancy Charges Advance Members Advance Members,B 004,10-05-2025,UPI recd agst bill 038 dt. 01.04.25,513022413028,N.A., Saraswat Co-op. Bank - 152200100051919 ,101001,3327.00,,
ME-2025-0000377,301011 301003 301016 304005 301002 304004 304001 301004,Education & Training Fund Electricity Charges Insurance Charges Legal Fund Maintenance Charges Repair & Maintenance Painting Fund Sinking Fund Water Charges,B 101,12-05-2025,NEFT recd agst bill 023 dt. 01.04.25,ICIN113279270003,ICICI Bank, Saraswat Co-op. Bank - 152200100051919 ,101001,3004.00,,
ME-2025-0000359,301011 301003 301016 304005 301002 304004 304001 301004,Education & Training Fund Electricity Charges Insurance Charges Legal Fund Maintenance Charges Repair & Maintenance Painting Fund Sinking Fund Water Charges,B 401,14-05-2025,NEFT recd agst bill 33 dt. 01.04.25,HDFCH00240557197,HDFC Bank , Saraswat Co-op. Bank - 152200100051919 ,101001,3004.00,,
ME-2025-0000361,301009 301011 301003 301016 304005 301002 304004 304001 301004 301007,2 wheeler Parking Charges Education & Training Fund Electricity Charges Insurance Charges Legal Fund Maintenance Charges Repair & Maintenance Painting Fund Sinking Fund Water Charges Non Occupancy Charges,A 203,16-05-2025,IMPS recd agst bill 6012 dt 01.04.2025,513609608497,N.A., Saraswat Co-op. Bank - 152200100051919 ,101001,3459.00,,
ME-2025-0000392,301011 301003 301016 304005 301002 304004 304001 301004,Education & Training Fund Electricity Charges Insurance Charges Legal Fund Maintenance Charges Repair & Maintenance Painting Fund Sinking Fund Water Charges Education & Training Fund Electricity Charges Insurance Charges Legal Fund Maintenance Charges Repair & Maintenance Painting Fund Sinking Fund Water Charges,A 401,19-05-2025,NEFT recd agst bills,BARBZ25139885964,Bank of Baroda, Saraswat Co-op. Bank - 152200100051919 ,101001,3030.00,,
ME-2025-0000393,301009 301033 301011 301003 301016 304005 301002 301032 305002 304004 304001 301004 301007,2 wheeler Parking Charges Arrears Parking Education & Training Fund Electricity Charges Insurance Charges Legal Fund Maintenance Charges NOC Arrears Nominal Membership Repair & Maintenance Painting Fund Sinking Fund Water Charges Non Occupancy Charges,A 202,20-05-2025,NEFT recd agst bill 11 dt.01.04.25,ICIN114079613313,ICICI Bank, Saraswat Co-op. Bank - 152200100051919 ,101001,3814.00,,
