"Income - Members > Maintenance Charges ( 301002 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Maintenance Charges ","301002","","",
ME-2025-0000005,301002,Maintenance Charges,B 204,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000013,301002,Maintenance Charges,B 304,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000021,301002,Maintenance Charges,A 001,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000029,301002,Maintenance Charges,A 002,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000038,301002,Maintenance Charges,A 003,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000047,301002,Maintenance Charges,A 004,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000055,301002,Maintenance Charges,A 101,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000064,301002,Maintenance Charges,A 102,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000074,301002,Maintenance Charges,A 103,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000083,301002,Maintenance Charges,A 201,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000093,301002,Maintenance Charges,A 202,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000105,301002,Maintenance Charges,A 203,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000115,301002,Maintenance Charges,A 301,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000124,301002,Maintenance Charges,A 302,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000134,301002,Maintenance Charges,A 303,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000143,301002,Maintenance Charges,A 401,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000151,301002,Maintenance Charges,A 402,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000159,301002,Maintenance Charges,A 403,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000177,301002,Maintenance Charges,B 002,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000185,301002,Maintenance Charges,B 003,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000203,301002,Maintenance Charges,B 101,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000211,301002,Maintenance Charges,B 102,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000219,301002,Maintenance Charges,B 103,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000229,301002,Maintenance Charges,B 104,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000237,301002,Maintenance Charges,B 201,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000245,301002,Maintenance Charges,B 202,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000253,301002,Maintenance Charges,B 203,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000261,301002,Maintenance Charges,B 301,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000270,301002,Maintenance Charges,B 302,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000279,301002,Maintenance Charges,B 303,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000288,301002,Maintenance Charges,B 401,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000296,301002,Maintenance Charges,B 402,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000306,301002,Maintenance Charges,B 403,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000316,301002,Maintenance Charges,C 001,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000335,301002,Maintenance Charges,B 001,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000354,301002,Maintenance Charges,B 004,01-04-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000419,301002,Maintenance Charges,B 204,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000427,301002,Maintenance Charges,B 304,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000435,301002,Maintenance Charges,A 001,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000443,301002,Maintenance Charges,A 002,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000452,301002,Maintenance Charges,A 003,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000460,301002,Maintenance Charges,A 004,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000468,301002,Maintenance Charges,A 101,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000477,301002,Maintenance Charges,A 102,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000487,301002,Maintenance Charges,A 103,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000496,301002,Maintenance Charges,A 201,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000505,301002,Maintenance Charges,A 202,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000515,301002,Maintenance Charges,A 203,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000524,301002,Maintenance Charges,A 301,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000535,301002,Maintenance Charges,A 302,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000545,301002,Maintenance Charges,A 303,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000554,301002,Maintenance Charges,A 401,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000562,301002,Maintenance Charges,A 402,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000570,301002,Maintenance Charges,A 403,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000580,301002,Maintenance Charges,B 001,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000590,301002,Maintenance Charges,B 002,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000598,301002,Maintenance Charges,B 003,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000606,301002,Maintenance Charges,B 004,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000615,301002,Maintenance Charges,B 101,01-07-2025,,,, Maintenance Charges ,301002,,1570,
ME-2025-0000623,301002,Maintenance Charges,B 102,01-07-2025,,,, Maintenance Charges ,301002,,1570,
