"Liabilities > Refundable Deposit ( 206003 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Refundable Deposit ","206003","","20000",
ME-2025-0000807,206003,Refundable Deposit,A 202,25-09-2025,Chq recd agst LL Deposit,000205,HDFC Bank, Refundable Deposit ,206003,,2000,
ME-2025-0000808,206003,Refundable Deposit,A 301,25-09-2025,Chq recd agst LL Deposit,115345,Saraswat Bank, Refundable Deposit ,206003,,2000,
ME-2025-0001165,206003,Refundable Deposit,B 003,19-01-2026,Chq recd agst LL Deposit,266488,Model Bank, Refundable Deposit ,206003,,2000,
ME-2025-0001578,206003,Refundable Deposit,B 004,27-03-2026,Refunded to Member,213256,, Refundable Deposit ,206003,2000,,

"Balance : 24000(Credit)","","","","","","","","","","2000","26000",

"Liabilities > Issued, Subscribed and Paid Up Capital ( 201001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Issued  Subscribed and Paid Up Capital ","201001","","18000",

"Balance : 18000(Credit)","","","","","","","","","","0","18000",

"Liabilities > Repair  and  Maintenance Fund ( 202003 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Repair  and  Maintenance Fund ","202003","","",
JE-2025-0000182,202003,Repair  and  Maintenance Fund,,31-03-2026,Being interest trf to fund 25-26,,, Repair  and  Maintenance Fund ,202003,,2055.00,
JE-2025-0000185,202003,Repair  and  Maintenance Fund,,31-03-2026,Being interest trf to fund 25-26,,, Repair  and  Maintenance Fund ,202003,2055.00,,

"","","","","","","","","","","2055","2055",

"Liabilities > Redevelopment Fund ( 202006 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Redevelopment Fund ","202006","","143212",
JE-2025-0000182,202006,Redevelopment Fund,,31-03-2026,Being interest trf to fund 25-26,,, Redevelopment Fund ,202006,,10760.00,

"Balance : 153972(Credit)","","","","","","","","","","0","153972",

"Liabilities > Provision Professional Fees ( 203002 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Provision Professional Fees ","203002","","3540",
JE-2025-0000058,203002,Provision Professional Fees,,01-04-2025,Being provision reversed,,, Provision Professional Fees ,203002,3540.00,,
JE-2025-0000178,203002,Provision Professional Fees,,31-03-2026,Being provision for ITR & Mandotory returns filling FY 25-26,,, Provision Professional Fees ,203002,,3540.00,

"Balance : 3540(Credit)","","","","","","","","","","3540","7080",

"Liabilities > Education Training Fund Payable ( 203003 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Education Training Fund Payable ","203003","","36146",
JE-2025-0000046,203003,Education Training Fund Payable,,31-03-2026,Being members contribution during FY 25-26 trfd to liability,,, Education Training Fund Payable ,203003,,4320.00,
JE-2025-0000182,203003,Education Training Fund Payable,,31-03-2026,Being interest trf to fund 25-26,,, Education Training Fund Payable ,203003,,2760.00,

"Balance : 43226(Credit)","","","","","","","","","","0","43226",

"Liabilities > Retention - Ecotech Exterior  and  Interior Co ( 203009 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Retention - Ecotech Exterior  and  Interior Co ","203009","","54400",

"Balance : 54400(Credit)","","","","","","","","","","0","54400",

"Liabilities > Provision for expenses ( 204001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Provision for expenses ","204001","","1770",
JE-2025-0000062,204001,Provision for expenses,,01-04-2025,Being provision reversed,,, Provision for expenses ,204001,1770.00,,
JE-2025-0000176,204001,Provision for expenses,,31-03-2026,Being provision for subscription federation FY 25-26,,, Provision for expenses ,204001,,826.00,

"Balance : 826(Credit)","","","","","","","","","","1770","2596",

