"Assets > Saraswat Bank - S.B. A/c 152200100300217 ( 101001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Saraswat Bank - S.B. A/c 152200100300217 ","101001","110575.29","",
ME-2025-0000189,301003 301011 301016 303001 304001 301004 301007,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Non Occupancy Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Non Occupancy Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Non Occupancy Charges, 502,02-04-2025,UPI recd agst bill 21 dt. 01.04.25,102466254108,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,6500.00,,
EE-2025-0000007,401001,Salary Expenses,Shantaram Katkar,02-04-2025,Being salary for the month of Mar-25,180443,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,2000,
BE-2025-0000024,0,Bank Transfer,,02-04-2025,Being petty cash withdrawn,180447,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,2500,
EE-2025-0000005,403001,Electricity Charges,TATA Power,03-04-2025,Being electricty bill paid for Mar-25,NA,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,1089,
EE-2025-0000006,403001,Electricity Charges,TATA Power,03-04-2025,Being electricty bill paid for Mar-25,NA,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,6990,
EE-2025-0000004,408011,Bank Charges,Unassigned,04-04-2025,Being sms bank charges fpr quarter ending  paid,NA,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,18.29,
EE-2025-0000012,407001,Security Charges,Deepak Security Service,08-04-2025,Being security charges paid for Mar-25,180444,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,29700,
ME-2025-0000194,301009 301002 301003 301011 301016 303001 304001 301004,2Wheeler Parking Charges  4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges 2Wheeler Parking Charges  4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges 2Wheeler Parking Charges  4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 202,09-04-2025,NEFT recd agst bill 0009 dt 01.04.2025,HDFCN52025040969528430,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,11844.00,,
EE-2025-0000008,401001,Salary Expenses,Gardner,09-04-2025,Being salary for the month of Mar-25,180446,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,1000,
EE-2025-0000361,405001,Lift AMC Expenses,Otis Elevator,09-04-2025,Being bill paid for lift 01.04.2025 to 31.03.2026,180448,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,34692,
ME-2025-0000216,304008,Transfer Premium, 602,11-04-2025,NEFT recd agst Transfer Premium,001171,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,12500.00,,
ME-2025-0000217,304008,Transfer Premium, 602,11-04-2025,Chq recd agst Transfer Premium,000037,Standard Chartered Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,12500.00,,
ME-2025-0000218,304006,Share Transfer Fee, 602,11-04-2025,Chq recd agst Share Transfer Fees,000038,State Bank of India, Saraswat Bank - S.B. A/c 152200100300217 ,101001,500.00,,
ME-2025-0000219,304005,Entrance Fee, 602,11-04-2025,Chq recd agst Entrance Fees,000039,Standard Chartered Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,200.00,,
ME-2025-0000202,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 402,13-04-2025,NEFT recd agst bill 017 dt. 01.04.25,NA,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,3148.00,,
ME-2025-0000190,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 401,15-04-2025,IMPS recd agst bill,12025041577544212,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3194.00,,
ME-2025-0000191,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 404,15-04-2025,IMPS recd agst bill,12025041577544212,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3194.00,,
ME-2025-0000192,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 501,15-04-2025,IMPS recd agst bill,12025041577544212,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3236.00,,
ME-2025-0000193,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 504,15-04-2025,IMPS recd agst bill,12025041577544212,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3236.00,,
EE-2025-0000009,401001,Salary Expenses,Chitra Parmar,16-04-2025,Being salary for the month of Mar-25,180445,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,4000,
